soil_moisture,temperature,humidity,light_intensity,door_state,fan_status,light_status,pump_status,buzzer_status
311,34.575973811753045,72.7585488789089,949,1,0,1,0,0
47,17.177876324464386,47.001109770860424,173,0,1,0,1,1
778,21.101803220980095,58.891970483600815,839,1,1,1,0,1
114,30.198625340605236,69.8555999105354,844,0,0,1,0,0
78,29.947752622473622,40.36357591952799,924,0,1,1,0,1
767,17.037412441254812,78.64817614284587,859,1,0,0,0,0
967,26.10399162126307,48.159246887312996,958,1,1,0,0,1
987,32.80070838502186,62.0548253840196,58,0,1,1,1,1
158,24.75773181386046,37.159736638914836,146,0,0,0,1,1
210,33.198975842714106,71.28522550953619,174,1,0,1,0,1
744,34.44695825447896,25.47138313149597,146,1,1,0,0,0
933,23.22474201988024,65.3813212850548,864,0,0,1,1,0
595,28.01769661564447,85.32580808369002,700,1,1,0,1,0
544,18.14795559364151,68.48128453324023,719,1,1,0,1,1
892,30.76085293957025,56.55039169812108,225,0,1,1,0,1
751,22.59015996757533,76.98278068451494,764,0,0,0,1,1
983,20.525928002159002,61.99631475240286,104,0,0,1,1,0
146,21.03430361529182,20.599255996986837,17,1,1,1,1,0
356,30.682603700833024,70.93359268460253,335,0,0,0,0,1
632,15.85950365013262,70.0455345627625,332,0,0,1,0,0
415,33.83765138807668,57.00564615495468,423,0,0,0,1,0
243,23.83577148683778,65.90228638734452,455,1,0,1,0,0
340,18.903039247727616,50.88081194991716,384,0,0,1,0,1
348,25.268429883454967,55.92510010837077,124,0,1,0,1,1
823,27.718850517819604,49.58608396307774,74,1,0,1,1,0
824,30.55080063469964,39.60473842787013,801,1,1,0,0,0
256,30.763017474301122,23.666482504131572,41,1,1,1,0,0
123,31.513008679228985,38.69514014957903,241,1,1,1,1,0
67,32.14663841845737,53.796263054829616,578,1,0,1,0,0
586,29.560311893793774,31.019204248981737,21,0,0,1,0,1
896,18.899507666621655,21.837483374070636,825,0,1,0,0,0
280,17.003605382724473,77.47917567623895,351,1,0,1,0,0
233,30.399416749446203,55.69024599159977,525,0,0,1,1,1
17,20.027617032773897,22.141166152222628,632,0,1,0,1,0
141,25.253360654305233,78.83536885133782,913,0,1,1,1,0
980,27.037442582595418,30.145837907450506,441,1,0,1,0,1
587,26.869692180460305,79.28074245407308,81,1,1,0,1,1
696,31.708102157694064,67.48488780866279,484,1,1,0,1,0
645,19.123100140847214,79.57786105608017,632,0,1,0,1,0
403,16.040959510984834,81.0101322746737,874,1,0,1,0,1
767,18.801002500321434,86.00603026255702,814,0,0,1,1,1
461,31.433105637901242,35.728795336003245,700,1,0,1,0,0
71,28.91825659277174,82.33388618052737,260,1,0,1,1,0
854,17.231605937315877,70.67812223524754,368,1,0,1,1,1
464,34.89249009718167,77.89693744454385,797,0,0,1,1,1
187,19.028570655808736,82.31279386814184,835,1,0,0,0,1
137,25.52453556048432,25.318764085262266,538,0,1,1,1,0
768,24.3394995788032,23.297121095363842,837,0,0,1,0,1
833,29.06510684666067,33.085832357536695,1003,0,0,0,1,1
206,25.416914753726495,30.11259902783778,72,1,1,0,0,0
110,15.195223073053732,37.992865897710374,423,0,1,1,1,1
483,25.990985378798953,32.17635019152974,430,0,1,0,0,0
299,26.58265403456424,88.13095189320143,488,0,1,0,1,1
476,22.90871038111798,55.09381193357425,161,0,0,1,1,0
883,22.574970631281595,74.78999382438842,476,0,0,0,0,0
586,21.427079858885232,28.494523552923496,132,0,0,1,0,0
680,23.749063560817234,48.0955634227693,307,0,1,1,0,1
973,16.7687632767802,53.31045969803944,470,0,1,1,0,1
62,30.650770873606298,84.28823251333067,801,1,1,0,0,0
552,26.95495282704198,21.486311112310975,675,0,0,0,0,1
117,21.654153310234094,81.36655653519938,114,0,0,0,1,1
767,34.657179144627726,37.07334276428473,575,1,0,0,0,1
601,30.027643682373192,64.18312929228497,229,0,0,0,1,0
73,26.450380221246448,48.99894274092746,83,1,1,1,0,1
933,31.970209642709417,83.47875864371078,394,1,1,1,0,1
754,34.98756181590465,42.4683837492537,404,0,0,1,1,1
261,25.056438578493278,57.00646351771617,689,1,1,0,0,0
934,31.548497205528236,22.567677890207815,483,0,0,0,1,1
78,26.790805697975017,73.80688196021073,481,0,0,0,0,0
858,23.98492561866263,66.15746962424106,913,1,0,1,1,1
147,27.483773404351247,87.56682774343406,870,1,0,1,0,1
390,21.675303575453214,54.14045463599763,520,1,1,0,1,0
818,28.261343219012097,72.36246897365392,244,0,0,0,1,0
612,23.502466918076586,24.345862629563335,283,1,0,0,0,0
547,32.473035965468526,55.805099892574965,212,0,0,1,1,1
978,24.184880448748544,26.628397714312726,9,0,0,1,0,0
702,32.9255910779637,71.80565664533488,486,0,0,1,1,1
611,25.740687851107577,63.504134080728285,182,0,0,0,1,0
913,26.245583359041987,75.72197477930044,46,0,0,0,0,0
865,27.58545024191215,42.52768191664018,111,0,1,0,1,1
681,34.95644462418103,32.842111363138464,543,0,0,1,1,0
772,30.107998137358905,59.64034798162207,818,1,1,1,0,1
789,33.72780367912118,88.5278059298667,826,0,1,1,1,1
989,17.52375561667068,55.350214919641516,199,1,0,1,0,1
1022,24.498745773688682,65.50243864052476,279,1,0,0,1,1
309,19.11725344262638,48.490184873068074,417,1,0,0,1,0
204,29.809897136122146,37.25669864963221,94,1,1,0,1,1
159,32.24003381081289,27.731713630264792,382,0,1,1,0,1
443,25.231695676064348,77.91919905281411,507,0,1,1,0,1
243,20.178393345484032,55.52102541313332,922,1,0,0,1,0
47,19.164136474611578,80.58790507622498,111,1,0,0,0,1
308,18.412413385347918,72.68200227498318,700,1,1,0,0,1
547,15.794855816759663,62.98606281015886,1009,1,1,0,1,0
867,19.793976086244584,48.038618343214736,824,1,0,0,0,1
48,30.3805792900601,80.79907913529786,456,1,1,0,0,1
608,27.594908050046907,68.3191826506634,834,0,1,1,1,1
124,23.517699840233824,86.6511411030537,166,1,0,1,1,0
58,32.06280904594834,81.9430956884226,628,0,0,0,0,1
183,34.609915437799074,74.8817705296682,450,1,0,0,0,0
14,17.992164186040675,40.30809445883169,886,1,0,0,1,0
343,17.29973895619137,49.26233768149457,865,0,0,0,0,1
827,21.711964523893066,39.13543494560473,930,0,1,0,0,1
832,31.566517145427245,34.50198034092518,350,0,0,0,1,1
824,15.648138753717145,71.57928441581495,956,0,0,0,1,1
817,15.902455472920566,42.07750056665604,22,1,1,1,1,1
123,18.111405645308473,57.11449702970404,140,1,0,0,1,0
302,19.052687850358353,47.657642409600186,214,1,1,0,1,1
389,26.500654259025303,63.25088942455491,781,0,0,1,0,0
506,26.7081736816254,30.490222995113463,772,0,1,1,0,0
697,24.948031653603557,31.067688246379113,59,1,1,0,0,1
735,28.062155459610835,28.60476476429568,487,1,1,1,0,0
937,15.483167045515705,71.02299820684884,721,1,0,0,0,0
544,23.964143157025,33.778893302519016,690,0,1,1,1,1
368,30.118113118886384,87.16701512435651,584,0,1,1,1,0
848,26.335693194897253,23.996598999283815,362,1,1,1,0,0
411,16.26888892435416,57.59120878716538,720,0,0,0,0,0
518,19.517429347533543,65.51182077518831,23,1,1,0,0,1
958,15.798041035274506,32.080736940326844,826,0,1,0,0,0
547,17.943161910750124,88.49853727128527,795,1,1,1,0,0
649,34.508615466254135,33.62005304110957,909,1,1,0,1,0
760,24.358632930870456,32.89703174160955,831,0,0,1,1,1
26,29.771600071483718,28.585414288663372,761,1,1,0,1,1
343,22.459555191494683,26.731312550301748,833,1,0,1,1,0
978,29.350186961245463,76.39916453149954,373,1,0,0,1,0
4,27.648420881786613,73.85530616499965,522,0,0,1,0,1
14,21.617289234001824,69.02803926599495,588,1,0,0,1,1
575,21.334258835581924,47.95249862458165,346,1,0,0,0,1
559,32.98031150861181,29.813889617149158,413,0,1,0,1,1
181,17.999173595095378,41.3230439266268,625,0,0,1,1,1
678,24.212359165210607,41.5037542530574,452,1,0,0,1,0
871,28.626959513772306,21.31900532268591,586,0,1,1,1,1
843,34.60649423182856,88.02752843136815,981,0,1,1,0,0
513,26.255048094603293,24.308847576857858,657,1,0,0,0,1
118,20.62945274812553,58.00467053631251,599,1,1,1,0,0
773,21.184495988701364,36.53687391287665,38,0,0,1,1,0
175,16.1629053649521,22.40829250576757,89,1,0,1,1,1
842,29.66978434981851,40.76436147793737,540,0,0,0,0,0
609,32.8132147440621,87.41122133606969,778,0,1,0,1,0
394,18.72780455223301,21.852744337592277,882,1,0,1,0,1
683,17.436683214497123,33.98398455562776,583,1,1,1,0,0
1013,33.74833453859523,51.719887707366965,189,0,1,0,1,0
780,27.28806869329675,66.48948425938883,26,1,0,1,1,0
331,22.940143033233497,69.63779359434673,530,1,0,1,1,0
481,23.870769383690007,32.78974449440605,103,0,0,0,1,1
1007,27.35877513492248,42.49374937388377,841,0,1,1,1,0
969,21.854638809876896,79.17719972297236,973,1,0,0,0,0
723,15.142321750023777,85.49559686974175,406,1,1,1,0,1
526,27.866297398909133,51.551242338984984,1005,1,1,0,0,0
739,15.179283894290819,57.24065919347732,546,1,0,1,0,1
414,31.04356242544049,27.943753246038728,429,1,0,1,1,1
898,19.22483626857183,53.30959431072917,358,1,1,0,1,1
391,34.287122479231016,40.476581847989465,703,1,0,0,0,0
76,28.906972490444222,51.44045555572734,977,0,1,1,1,0
39,18.03697203373906,33.512408905487256,733,1,1,0,0,0
959,25.231759743964652,68.89546905549531,845,0,1,1,0,0
623,17.431586117518137,83.45111305024957,634,1,1,1,1,1
34,22.354388863360246,38.24577071755222,431,1,0,1,0,0
79,28.248289924802975,56.83843002461182,422,1,0,1,0,1
48,18.581206286775075,60.98421743241178,67,0,0,1,1,1
722,20.799276481445588,49.912385934224076,351,0,1,1,0,0
912,22.190048556488247,28.485984722309656,8,0,1,1,1,0
386,17.241193245898273,46.72757893349263,588,1,1,1,0,0
23,16.284843748851618,53.02189791492388,198,0,0,0,1,0
598,16.70020378462517,35.098787715660116,854,1,1,0,0,0
951,30.14825554148246,26.772786097775338,499,1,1,1,1,0
633,16.20547213044128,84.49629433143996,1007,1,1,0,0,0
593,30.92868398220368,42.10243599729802,101,0,1,1,1,1
237,27.723641151942005,29.006950725052505,365,0,1,1,1,1
427,25.74374181171474,61.07436969872387,691,0,1,1,1,0
771,31.509369353809028,58.80748400985729,392,0,1,0,0,1
273,26.667279344480328,58.8266111638419,164,0,1,0,0,0
727,25.349295575812945,32.12326387294513,329,0,1,0,0,1
529,32.742426538037435,89.05690342300304,540,1,1,0,0,1
352,20.458299242270577,21.456908891014127,423,0,0,1,1,1
106,24.064052172026614,36.039664649326475,486,1,1,1,0,0
892,17.033167272868873,57.795037165448775,878,1,1,0,1,0
129,21.844547462838264,56.98127844305403,927,0,1,1,0,0
353,26.387668140897624,53.45240828455003,504,0,0,0,1,1
302,20.33787251843666,65.29560451613528,120,1,0,1,1,0
548,33.391406041274465,84.45325925129694,274,1,0,0,0,1
133,26.76147837055953,45.17323748484484,1012,0,0,0,0,0
528,23.07950846376839,77.31444984063887,221,1,0,0,1,1
488,32.508757507618895,32.030732220915425,873,1,1,1,0,1
209,28.623722320749504,36.690599904758685,656,0,0,1,0,1
630,34.14792711986542,78.67156287685194,370,0,0,0,0,0
976,19.498983647007996,85.13440962116024,423,0,1,1,1,0
545,19.7264459266964,52.23770359332419,46,0,0,1,1,0
92,28.094828142640605,30.63316247041626,804,1,0,0,0,0
932,31.799441335031656,34.4948517675478,579,1,1,0,1,1
698,26.399417005083727,64.22198974289647,216,1,1,1,0,1
795,22.65663118732,35.90028910810606,290,1,1,0,1,0
962,18.605760131185797,24.870704679477026,674,1,1,0,0,1
885,24.636143815230277,26.55319439884728,784,1,1,1,1,0
25,22.40362607501209,55.56666697178763,972,0,0,1,1,1
35,26.60712758794992,80.66017105878122,30,0,1,0,0,1
349,17.628673843455555,52.58029062032271,505,0,1,1,1,1
47,24.995439822100412,51.374511586981896,862,0,0,1,1,1
502,29.311718006551494,44.74418532181964,150,1,1,1,0,0
513,31.27485722621398,80.84656209574403,732,1,1,1,0,0
983,25.54881238451087,26.69795095559441,0,0,0,0,1,1
976,23.426385912659438,81.53630021433122,75,1,0,1,1,1
932,23.48067807391664,87.55121260232053,546,0,1,1,1,0
399,34.526669064916995,40.943913878813035,958,0,1,1,0,1
808,24.400716132233807,36.74984002860761,394,1,1,1,1,1
803,16.52960942893217,75.62597386999926,610,1,1,0,0,0
43,19.21900219259904,48.77751534789442,574,0,0,1,1,0
462,32.49932690914436,77.10807541661347,674,1,1,0,1,1
195,24.250359791978003,40.475983759702984,621,0,0,1,0,0
331,27.402514449599906,87.53849783019976,1018,0,0,0,1,0
716,28.991206781713828,48.456013969603504,15,1,1,1,0,0
9,34.80547981571424,34.07243653991325,762,0,1,1,1,0
196,16.90927779310939,53.422036404878526,430,1,0,0,0,1
296,17.07683871180541,62.363404005921915,302,0,0,1,0,1
249,24.33378624052358,67.1607846779603,341,0,1,0,0,1
50,26.012163093257808,40.99293948124058,886,0,1,1,1,0
559,22.11187796078384,52.25678707885072,744,0,0,1,0,0
753,24.20280919884384,34.81867957893994,466,0,0,0,0,0
101,22.677489493341845,23.016999540475766,729,0,1,0,1,1
272,25.57758097035656,57.41161781945341,472,0,0,1,0,1
605,34.265931722160566,64.40259849383094,958,0,1,1,0,0
845,21.637596719591087,79.02734334929062,813,1,0,1,0,0
378,17.09693282926014,50.07364794952129,597,1,1,0,1,0
527,33.09272312858793,86.81561357980289,108,1,0,1,0,1
842,17.479003066878686,87.86193766917766,690,1,0,1,1,1
650,27.08954992911858,25.218390660476302,722,1,0,0,1,0
984,22.864747582681602,20.040417486573734,540,0,1,1,1,1
958,32.803484662978164,76.95750281499434,85,0,0,1,0,1
842,23.261528138332825,51.90205428915807,276,1,1,1,1,0
829,31.281879365259822,48.04310340951311,165,0,0,0,1,0
975,28.433174997785226,32.17686281767307,486,0,1,0,0,1
1006,18.842964843615206,70.14535367045036,103,1,0,0,0,0
961,16.30712085985151,59.649145638170964,767,0,1,0,0,1
642,31.787234893009003,85.99281914316931,484,1,0,1,1,0
169,32.68370038795177,37.252003242758924,913,1,0,0,1,0
493,31.65056518192442,25.720061804732694,561,0,0,1,0,1
802,32.71913167557631,54.04368099215145,83,1,1,1,0,1
819,29.424512018960908,65.64304963782416,735,1,0,1,1,0
672,15.951233883785303,34.153657847186345,82,0,1,0,1,0
926,24.149632091370407,41.189113344229355,969,0,1,1,0,1
536,25.67190289431013,89.404741546427,488,0,0,0,1,1
333,18.94350707077304,23.59082144433748,774,1,0,0,0,1
218,31.83521792390745,86.94569321174903,71,1,0,0,1,0
119,29.75819327026271,37.37228190556043,383,0,1,1,0,1
457,23.333430099856233,32.343667355741985,657,1,0,1,1,0
566,32.255553270665864,29.686776263772906,44,1,1,1,0,0
754,24.4920287195841,60.227514726853364,925,0,0,0,0,1
762,29.582406917012197,34.29145376217196,638,1,1,0,0,1
738,34.96305257908643,32.11091898240845,338,0,0,1,1,1
276,30.179753594150306,89.62048879479167,370,1,1,1,0,1
406,33.76797672977236,74.48205097317776,817,0,0,1,0,0
337,29.72156014390185,41.276164862862416,7,1,0,1,0,0
437,24.346880506913124,43.09352207880642,439,0,0,1,1,1
