re = 885
Door State = Closed
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Watchdog Demo Starting
Soil Moisture = 884
Door State = Closed
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 12.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 503.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 500.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 522.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 518.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 506.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 522.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 491.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 466.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 480.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 485.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 504.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 520.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 512.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 506.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 516.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 885
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Closed
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 521.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 519.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 490.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 521.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 537.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 497.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 503.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 528.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 527.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 527.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 527.00
Soil Moisture = 884
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 528.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 23.00
Light intensity = 525.00
Soil Moisture = 883
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 512.00
Soil Moisture = 564
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 133
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 86
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 77
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 88
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 65
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 101
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 96
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 124
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 121
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 114
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 706
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 334
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 898
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 337
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 387
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 885
Door State = Opened
Humidity (%) = 14.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 308
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 432
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 389
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 344
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 90
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 523.00
Soil Moisture = 289
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 526.00
Soil Moisture = 907
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 524.00
Soil Moisture = 888
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 531.00
Soil Moisture = 893
Door State = Opened
Humidity (%) = 13.00
DHT_Temperature  (C) = 24.00
Light intensity = 525.00
Soil Moisture = 895
Door State = Opened
Humidity (%) = 13.00
